@JetBlue seriously?? What is going on?! http://t.co/mTHM9waObu,0
@USAirways Easily the most ridiculous experience trying to spend money with your company.,0
"@USAirways I want my money back. Now we're sitting on the runway. After a 2 hour delay, waiting for the baggage to begin loading.",0
@AmericanAir not to mention its a three hour wait to get an agent on the phone.,0
"@USAirways Website won't let me change online even though airline issued travel advisory, now on hold for 50 minutes. Help.",0
"@AmericanAir..still here. feet are freezing b/c doors have been open. Flt time was 8:30.  We have fuel but now waiting for ""rampers"" #AA4285",0
"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",0
@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,0
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,0
@USAirways @AmericanAir  is there anyone answering phones today??? Listening to same damn messages for 1:10 minutes,0
@united I have no way to contact her while she is in flight. This does not work for me. Her father is about to pass and is heading to Denver,0
@united we followed the baggage rules on your website and was still charges $150. But only going one way,0
@AmericanAir @RLDelahunty record l#oaaret got email we couldn't get rescheduled on another flight but don't know if flight is Cancelled Flightled,0
@JetBlue This is how you have me feeling.... http://t.co/esUu0hiAjM,0
ÛÏ@AmericanAir Thanks for info on super large passengers- the extra seat Mr. Big needed was the one i was sitting in already #customerservice,0
@USAirways Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.,0
@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!,0
"@AmericanAir Thank you for holding, we apologize for the delay in answering your call. To speak to a representative please continue to hold.",0
@JetBlue on your 1503 flight JFK to PR. They got the doors open on this frigid temperature. #icyflight,0
@SouthwestAir  how many others didn't know you are stopping non stop flights to ATL and from to Hartford Ct as of April ?,0
@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on,0
@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.,0
@AmericanAir  please call us back to rebook!!! 7403607771. We need to get back to Columbus!!!!!! Please help,0
"@united employees are the angriest, angst-iest group of people anywhere (except for Tasha at check-in at IAH.) @dad_or_alive",0
"@USAirways overloads small plane with extra baggage and then. Has to take them off... Poor execution #4435, 75 minute delay...",0
@USAirways your phone system is not working at all I have been bumped again so now I am at 3 times I need to get out of mco,0
@AmericanAir Flight's Cancelled Flightled. Website says to call phone number.Phone says to check online.  How am I supposed to get some help?,0
